GO.ID	Term	Annotated	Count	Expected	p-value	q-value	Aspect	Genes	Origin input
GO:0006333	chromatin assembly or disassembly	58	14	7.45	0.01329	4.459e-01	P	Sobic.002G210500, Sobic.002G403400, Sobic.003G057366, Sobic.003G067300, Sobic.003G092200, Sobic.003G347900, Sobic.003G387600, Sobic.004G265400, Sobic.004G279601, Sobic.007G008300, Sobic.007G149600, Sobic.007G221800, Sobic.009G164200, Sobic.009G167500	SOBIC.002G210500, SOBIC.002G403400, SOBIC.003G057366, SOBIC.003G067300, SOBIC.003G092200, SOBIC.003G347900, SOBIC.003G387600, SOBIC.004G265400, SOBIC.004G279601, SOBIC.007G008300, SOBIC.007G149600, SOBIC.007G221800, SOBIC.009G164200, SOBIC.009G167500
GO:0010639	negative regulation of organelle organization	31	9	3.98	0.01333	4.459e-01	P	Sobic.001G083300, Sobic.002G021200, Sobic.003G290500, Sobic.004G077100, Sobic.004G094700, Sobic.004G128600, Sobic.005G061900, Sobic.006G144700, Sobic.009G192700	SOBIC.001G083300, SOBIC.002G021200, SOBIC.003G290500, SOBIC.004G077100, SOBIC.004G094700, SOBIC.004G128600, SOBIC.005G061900, SOBIC.006G144700, SOBIC.009G192700
GO:0007059	chromosome segregation	76	17	9.76	0.01465	4.741e-01	P	Sobic.001G083300, Sobic.001G118800, Sobic.001G230300, Sobic.001G427400, Sobic.001G450400, Sobic.002G074500, Sobic.002G162300, Sobic.002G303800, Sobic.003G055600, Sobic.003G179500, Sobic.003G384100, Sobic.003G423700, Sobic.004G077100, Sobic.004G271300, Sobic.006G120600, Sobic.006G136000, Sobic.009G184200	SOBIC.001G083300, SOBIC.001G118800, SOBIC.001G230300, SOBIC.001G427400, SOBIC.001G450400, SOBIC.002G074500, SOBIC.002G162300, SOBIC.002G303800, SOBIC.003G055600, SOBIC.003G179500, SOBIC.003G384100, SOBIC.003G423700, SOBIC.004G077100, SOBIC.004G271300, SOBIC.006G120600, SOBIC.006G136000, SOBIC.009G184200
GO:0007126	meiotic nuclear division	82	18	10.53	0.01483	4.741e-01	P	Sobic.001G118800, Sobic.001G230300, Sobic.001G450400, Sobic.002G074500, Sobic.002G351100, Sobic.003G103701, Sobic.003G384100, Sobic.003G423700, Sobic.004G021000, Sobic.004G053900, Sobic.004G198100, Sobic.004G271300, Sobic.005G061900, Sobic.006G120600, Sobic.006G136000, Sobic.008G101300, Sobic.009G049200, Sobic.010G269800	SOBIC.001G118800, SOBIC.001G230300, SOBIC.001G450400, SOBIC.002G074500, SOBIC.002G351100, SOBIC.003G103701, SOBIC.003G384100, SOBIC.003G423700, SOBIC.004G021000, SOBIC.004G053900, SOBIC.004G198100, SOBIC.004G271300, SOBIC.005G061900, SOBIC.006G120600, SOBIC.006G136000, SOBIC.008G101300, SOBIC.009G049200, SOBIC.010G269800
GO:0000726	non-recombinational repair	17	6	2.18	0.01561	4.741e-01	P	Sobic.002G214700, Sobic.003G103701, Sobic.003G318900, Sobic.003G369200, Sobic.007G007800, Sobic.010G269800	SOBIC.002G214700, SOBIC.003G103701, SOBIC.003G318900, SOBIC.003G369200, SOBIC.007G007800, SOBIC.010G269800
GO:0006303	double-strand break repair via nonhomologous end joining	17	6	2.18	0.01561	4.741e-01	P	Sobic.002G214700, Sobic.003G103701, Sobic.003G318900, Sobic.003G369200, Sobic.007G007800, Sobic.010G269800	SOBIC.002G214700, SOBIC.003G103701, SOBIC.003G318900, SOBIC.003G369200, SOBIC.007G007800, SOBIC.010G269800
GO:0009607	response to biotic stimulus	508	82	65.22	0.01603	4.741e-01	P	Sobic.001G012200, Sobic.001G138000, Sobic.001G145700, Sobic.001G161000, Sobic.001G222700, Sobic.001G224300, Sobic.001G314300, Sobic.001G339000, Sobic.001G373100, Sobic.001G432800, Sobic.001G465800, Sobic.001G472800, Sobic.001G478100, Sobic.001G483600, Sobic.001G492600, Sobic.002G051100, Sobic.002G109100, Sobic.002G180300, Sobic.002G272500, Sobic.002G374650, Sobic.002G421300, Sobic.003G052700, Sobic.003G062500, Sobic.003G086200, Sobic.003G102300, Sobic.003G137600, Sobic.003G148400, Sobic.003G199400, Sobic.003G233100, Sobic.003G246400, Sobic.003G260700, Sobic.003G296400, Sobic.003G296500, Sobic.003G361300, Sobic.003G383900, Sobic.003G386600, Sobic.003G431700, Sobic.004G067500, Sobic.004G128600, Sobic.004G142800, Sobic.004G168500, Sobic.004G198100, Sobic.004G205300, Sobic.004G246400, Sobic.004G313100, Sobic.004G317500, Sobic.005G156100, Sobic.005G169200, Sobic.005G169400, Sobic.006G033800, Sobic.006G111100, Sobic.006G116500, Sobic.006G160700, Sobic.006G190100, Sobic.006G198800, Sobic.006G204400, Sobic.006G235600, Sobic.006G242000, Sobic.006G248300, Sobic.006G270300, Sobic.007G034200, Sobic.007G079600, Sobic.007G191200, Sobic.008G112200, Sobic.008G112300, Sobic.008G137500, Sobic.008G144600, Sobic.009G049200, Sobic.009G052100, Sobic.009G068900, Sobic.009G113700, Sobic.009G115300, Sobic.009G115400, Sobic.009G130100, Sobic.009G132000, Sobic.009G212800, Sobic.010G020200, Sobic.010G071300, Sobic.010G077000, Sobic.010G119300, Sobic.010G143500, Sobic.010G219600	SOBIC.001G012200, SOBIC.001G138000, SOBIC.001G145700, SOBIC.001G161000, SOBIC.001G222700, SOBIC.001G224300, SOBIC.001G314300, SOBIC.001G339000, SOBIC.001G373100, SOBIC.001G432800, SOBIC.001G465800, SOBIC.001G472800, SOBIC.001G478100, SOBIC.001G483600, SOBIC.001G492600, SOBIC.002G051100, SOBIC.002G109100, SOBIC.002G180300, SOBIC.002G272500, SOBIC.002G374650, SOBIC.002G421300, SOBIC.003G052700, SOBIC.003G062500, SOBIC.003G086200, SOBIC.003G102300, SOBIC.003G137600, SOBIC.003G148400, SOBIC.003G199400, SOBIC.003G233100, SOBIC.003G246400, SOBIC.003G260700, SOBIC.003G296400, SOBIC.003G296500, SOBIC.003G361300, SOBIC.003G383900, SOBIC.003G386600, SOBIC.003G431700, SOBIC.004G067500, SOBIC.004G128600, SOBIC.004G142800, SOBIC.004G168500, SOBIC.004G198100, SOBIC.004G205300, SOBIC.004G246400, SOBIC.004G313100, SOBIC.004G317500, SOBIC.005G156100, SOBIC.005G169200, SOBIC.005G169400, SOBIC.006G033800, SOBIC.006G111100, SOBIC.006G116500, SOBIC.006G160700, SOBIC.006G190100, SOBIC.006G198800, SOBIC.006G204400, SOBIC.006G235600, SOBIC.006G242000, SOBIC.006G248300, SOBIC.006G270300, SOBIC.007G034200, SOBIC.007G079600, SOBIC.007G191200, SOBIC.008G112200, SOBIC.008G112300, SOBIC.008G137500, SOBIC.008G144600, SOBIC.009G049200, SOBIC.009G052100, SOBIC.009G068900, SOBIC.009G113700, SOBIC.009G115300, SOBIC.009G115400, SOBIC.009G130100, SOBIC.009G132000, SOBIC.009G212800, SOBIC.010G020200, SOBIC.010G071300, SOBIC.010G077000, SOBIC.010G119300, SOBIC.010G143500, SOBIC.010G219600
GO:0006269	DNA replication, synthesis of RNA primer	2	2	0.26	0.01647	4.741e-01	P	Sobic.006G051000, Sobic.009G109300	SOBIC.006G051000, SOBIC.009G109300
GO:0006287	base-excision repair, gap-filling	2	2	0.26	0.01647	4.741e-01	P	Sobic.004G049200, Sobic.005G066900	SOBIC.004G049200, SOBIC.005G066900
GO:0006297	nucleotide-excision repair, DNA gap filling	2	2	0.26	0.01647	4.741e-01	P	Sobic.004G049200, Sobic.005G066900	SOBIC.004G049200, SOBIC.005G066900
