SOBIC.001G125100	Sobic.001G125100	GO:0005681, GO:0008380
SOBIC.001G125300	Sobic.001G125300	GO:0005215, GO:0006810, GO:0016021
SOBIC.001G132600	Sobic.001G132600	GO:0000828, GO:0000829, GO:0003993, GO:0006020, GO:0016310, GO:0016311, GO:0032958, GO:0033857
SOBIC.001G134800	Sobic.001G134800	GO:0009706, GO:0016021
SOBIC.001G139900	Sobic.001G139900	GO:0016021
SOBIC.001G144400	Sobic.001G144400	GO:0006474, GO:0008080
SOBIC.001G144900	Sobic.001G144900	GO:0009505, GO:0009615, GO:0009735, GO:0045735
SOBIC.001G146800	Sobic.001G146800	GO:0005783, GO:0016021
SOBIC.001G147200	Sobic.001G147200	GO:0003676, GO:0005634, GO:0008270
SOBIC.001G149800	Sobic.001G149800	GO:0009061, GO:0016702, GO:0018171, GO:0070483
SOBIC.001G153700	Sobic.001G153700	GO:0005515, GO:0008270, GO:0016567, GO:0043161, GO:0061630
SOBIC.001G165600	Sobic.001G165600	GO:0006952
SOBIC.001G169700	Sobic.001G169700	GO:0046872
SOBIC.001G173900	Sobic.001G173900	GO:0008152, GO:0016597
SOBIC.001G177000	Sobic.001G177000	GO:0009522, GO:0009523, GO:0009535, GO:0009637, GO:0009768, GO:0009941, GO:0010114, GO:0010218, GO:0010287, GO:0016021, GO:0016168, GO:0018298, GO:0031409, GO:0046872
SOBIC.001G179740	Sobic.001G179740	GO:0016866
SOBIC.001G185500	Sobic.001G185500	GO:0005774, GO:0006855, GO:0015238, GO:0015297
SOBIC.001G192200	Sobic.001G192200	GO:0005506, GO:0016020, GO:0016709, GO:0020037, GO:0044550, GO:0055114
SOBIC.001G192400	Sobic.001G192400	GO:0005515
SOBIC.001G192800	Sobic.001G192800	GO:0005524, GO:0016021
SOBIC.001G194900	Sobic.001G194900	GO:0004174, GO:0005743, GO:0006552, GO:0009646, GO:0046872, GO:0051536, GO:0055114
SOBIC.001G195100	Sobic.001G195100	GO:0005506, GO:0016021, GO:0016709, GO:0020037, GO:0044550, GO:0055114
SOBIC.001G195700	Sobic.001G195700	GO:0009793, GO:0016021
SOBIC.001G200500	Sobic.001G200500	GO:0030001, GO:0046872
SOBIC.001G203000	Sobic.001G203000	GO:0009543
SOBIC.001G205800	Sobic.001G205800	GO:0005886, GO:0009787, GO:0010231, GO:0010427
SOBIC.001G206300	Sobic.001G206300	GO:0003677, GO:0006355
SOBIC.001G207600	Sobic.001G207600	GO:0005524, GO:0009611, GO:0009651, GO:0009737, GO:0009897, GO:0010222, GO:0010588, GO:0016887, GO:0042803, GO:0080051, GO:0090378
SOBIC.001G208200	Sobic.001G208200	GO:0005975, GO:0009505, GO:0048046, GO:0052692
SOBIC.001G208500	Sobic.001G208500	GO:0005887, GO:0006833, GO:0009705, GO:0009992, GO:0015250, GO:0015254, GO:0015793, GO:0034220, GO:0042807
SOBIC.001G215300	Sobic.001G215300	GO:0003824, GO:0009058, GO:0030170
SOBIC.001G221200	Sobic.001G221200	GO:0006066, GO:0009409, GO:0046577, GO:0050660, GO:0055114
SOBIC.001G226300	Sobic.001G226300	GO:0009626, GO:0042742
SOBIC.001G226600	Sobic.001G226600	GO:0000272, GO:0016161
SOBIC.001G226700	Sobic.001G226700	GO:0005515
SOBIC.001G227100	Sobic.001G227100	GO:0005515, GO:0008270
SOBIC.001G230700	Sobic.001G230700	GO:0005515, GO:0008270
SOBIC.001G230900	Sobic.001G230900	GO:0005525, GO:0005622, GO:0007264
SOBIC.001G234300	Sobic.001G234300	GO:0005515, GO:0008270
SOBIC.001G234800	Sobic.001G234800	GO:0005315, GO:0005634, GO:0005773, GO:0005794, GO:0005887, GO:0006817, GO:0009506, GO:0009737, GO:0022891, GO:0055085
SOBIC.001G236200	Sobic.001G236200	GO:0004672, GO:0005524, GO:0006468
SOBIC.001G239601	Sobic.001G239601	GO:0006950
SOBIC.001G247300	Sobic.001G247300	GO:0005388, GO:0005524, GO:0005887, GO:0043231, GO:0046872, GO:0070588
SOBIC.001G251300	Sobic.001G251300	GO:0016747
