"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"61728","Sobic.008G116600.v3.2","seed_wt","seed_dry","OK",23.9463,58.196,1.28112,2.25843,5e-05,0.000226883,"yes"
"61729","Sobic.008G116700.v3.2","seed_wt","seed_dry","OK",5.09152,10.8849,1.09617,1.54884,0.0087,0.0225789,"yes"
"61744","Sobic.008G118300.v3.2","seed_wt","seed_dry","OK",29.4537,68.4016,1.21558,1.81694,0.00235,0.00724252,"yes"
"61773","Sobic.008G121080.v3.2","seed_wt","seed_dry","OK",49.2139,102.545,1.05912,1.60282,0.00535,0.0148192,"yes"
"61793","Sobic.008G123100.v3.2","seed_wt","seed_dry","OK",1.25533,18.7416,3.9001,5.00235,5e-05,0.000226883,"yes"
"61807","Sobic.008G124400.v3.2","seed_wt","seed_dry","OK",4.55835,16.2689,1.83553,2.46646,5e-05,0.000226883,"yes"
"61808","Sobic.008G124500.v3.2","seed_wt","seed_dry","OK",9.00981,22.8704,1.34391,2.28694,1e-04,0.000431629,"yes"
"61849","Sobic.008G128600.v3.2","seed_wt","seed_dry","OK",226.826,673.021,1.56906,2.70388,5e-05,0.000226883,"yes"
"61852","Sobic.008G129000.v3.2","seed_wt","seed_dry","OK",2.98509,27.8111,3.21981,4.4628,5e-05,0.000226883,"yes"
"61859","Sobic.008G129700.v3.2","seed_wt","seed_dry","OK",28.52,73.5568,1.36688,2.43126,5e-05,0.000226883,"yes"
"61872","Sobic.008G130900.v3.2","seed_wt","seed_dry","OK",8.32136,18.7261,1.17016,1.67011,0.0052,0.0144593,"yes"
"61917","Sobic.008G135000.v3.2","seed_wt","seed_dry","OK",317.572,637.839,1.00611,1.66198,0.00685,0.0183439,"yes"
"61930","Sobic.008G136200.v3.2","seed_wt","seed_dry","OK",60.1538,147.61,1.29506,2.23227,1e-04,0.000431629,"yes"
"61953","Sobic.008G138600.v3.2","seed_wt","seed_dry","OK",2.86231,11.4426,1.99917,3.34324,5e-05,0.000226883,"yes"
"61989","Sobic.008G141800.v3.2","seed_wt","seed_dry","OK",10.6603,26.601,1.31924,1.96797,0.00235,0.00724252,"yes"
"61995","Sobic.008G142200.v3.2","seed_wt","seed_dry","OK",0.650082,3.19861,2.29875,2.72388,5e-05,0.000226883,"yes"
"62006","Sobic.008G143100.v3.2","seed_wt","seed_dry","OK",8.46051,22.5302,1.41304,2.2328,3e-04,0.00116681,"yes"
"62019","Sobic.008G144500.v3.2","seed_wt","seed_dry","OK",1.49389,8.74894,2.55003,3.07802,5e-05,0.000226883,"yes"
"62035","Sobic.008G146301.v3.2","seed_wt","seed_dry","OK",0.177723,13.6018,6.25802,3.8895,0.0293,0.064062,"no"
"62045","Sobic.008G147400.v3.2","seed_wt","seed_dry","OK",2.16635,5.07897,1.22927,1.61853,0.006,0.0163559,"yes"
"62049","Sobic.008G147800.v3.2","seed_wt","seed_dry","OK",0.51967,1.77936,1.77569,1.499,0.02245,0.0510188,"no"
"62065","Sobic.008G149450.v3.2","seed_wt","seed_dry","OK",32.7381,87.5574,1.41926,1.90004,8e-04,0.00280389,"yes"
"62070","Sobic.008G150000.v3.2","seed_wt","seed_dry","OK",5.97024,11.9756,1.00423,1.67013,0.00405,0.0116384,"yes"
"62074","Sobic.008G150300.v3.2","seed_wt","seed_dry","OK",50.1526,104.352,1.05706,1.93716,0.00125,0.00415803,"yes"
"62077","Sobic.008G150700.v3.2","seed_wt","seed_dry","OK",2.16468,7.38433,1.77032,2.90112,5e-05,0.000226883,"yes"
"62081","Sobic.008G151200.v3.2","seed_wt","seed_dry","OK",3.22703,10.9018,1.75629,1.39623,0.02685,0.0594762,"no"
"62120","Sobic.008G155400.v3.2","seed_wt","seed_dry","OK",2.69255,13.8596,2.36384,3.06958,5e-05,0.000226883,"yes"
"62158","Sobic.008G159000.v3.2","seed_wt","seed_dry","OK",151.913,374.785,1.30282,2.19229,0.00015,0.000624855,"yes"
"62162","Sobic.008G159250.v3.2","seed_wt","seed_dry","OK",2.73917,8.02215,1.55025,2.30605,2e-04,0.000811791,"yes"
"62176","Sobic.008G160500.v3.2","seed_wt","seed_dry","OK",29.0329,64.0033,1.14045,2.03091,4e-04,0.00151008,"yes"
"62178","Sobic.008G160700.v3.2","seed_wt","seed_dry","OK",23.3272,65.126,1.48122,2.66034,5e-05,0.000226883,"yes"
"62220","Sobic.008G165000.v3.2","seed_wt","seed_dry","OK",14.9036,46.1565,1.63088,2.58171,5e-05,0.000226883,"yes"
"62221","Sobic.008G165100.v3.2","seed_wt","seed_dry","OK",10.31,26.0924,1.33959,2.31452,5e-05,0.000226883,"yes"
"62237","Sobic.008G166300.v3.2","seed_wt","seed_dry","OK",16.325,36.2485,1.15083,1.9671,0.00095,0.00326439,"yes"
"62257","Sobic.008G168300.v3.2","seed_wt","seed_dry","OK",12.2137,35.2983,1.53109,2.58825,5e-05,0.000226883,"yes"
"62308","Sobic.008G173400.v3.2","seed_wt","seed_dry","OK",9.82518,24.7603,1.33347,2.10977,3e-04,0.00116681,"yes"
"62317","Sobic.008G174300.v3.2","seed_wt","seed_dry","OK",71.6883,178.762,1.31823,2.26895,5e-05,0.000226883,"yes"
"62333","Sobic.008G175800.v3.2","seed_wt","seed_dry","OK",12.2405,48.8384,1.99635,3.31424,5e-05,0.000226883,"yes"
"62347","Sobic.008G176732.v3.2","seed_wt","seed_dry","OK",0,2.94109,Inf,NA,5e-05,0.000226883,"yes"
"62366","Sobic.008G178450.v3.2","seed_wt","seed_dry","OK",0.832164,3.42735,2.04216,1.61275,0.01245,0.0307617,"yes"
"62378","Sobic.008G179500.v3.2","seed_wt","seed_dry","OK",78.065,240.156,1.62122,2.88639,5e-05,0.000226883,"yes"
"62412","Sobic.008G182700.v3.2","seed_wt","seed_dry","OK",0,22.6273,Inf,NA,5e-05,0.000226883,"yes"
"62443","Sobic.008G185600.v3.2","seed_wt","seed_dry","OK",2.68769,13.1806,2.29398,3.21513,5e-05,0.000226883,"yes"
"62468","Sobic.008G188000.v3.2","seed_wt","seed_dry","OK",3.22898,8.40968,1.38097,1.73247,0.00315,0.00935673,"yes"
"62472","Sobic.008G188400.v3.2","seed_wt","seed_dry","OK",0.277542,3.08683,3.47535,2.16659,0.01775,0.0417282,"yes"
"62475","Sobic.008G188700.v3.2","seed_wt","seed_dry","OK",35.8739,79.2565,1.14359,2.01917,6e-04,0.00217085,"yes"
"62480","Sobic.008G189100.v3.2","seed_wt","seed_dry","OK",0.241342,4.96039,4.3613,2.69182,0.02395,0.0539485,"no"
"62481","Sobic.008G189200.v3.2","seed_wt","seed_dry","OK",3.66495,28.578,2.96304,3.98091,5e-05,0.000226883,"yes"
"62500","Sobic.008G191100.v3.2","seed_wt","seed_dry","OK",22.7665,77.6681,1.77041,3.09876,5e-05,0.000226883,"yes"
"62504","Sobic.008G191500.v3.2","seed_wt","seed_dry","OK",5.24241,12.2226,1.22125,1.88508,0.0011,0.00371353,"yes"
"62506","Sobic.008G191700.v3.2","seed_wt","seed_dry","OK",61.219,227.51,1.89388,3.38379,5e-05,0.000226883,"yes"
