"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"147931","Sobic.003G121400.v3.2","WT_seed","plasma_seed","OK",4.01707,14.9076,1.89184,4.563,5e-05,0.00014463,"yes"
"147948","Sobic.003G123300.v3.2","WT_seed","plasma_seed","OK",9.14536,31.9729,1.80574,4.94154,5e-05,0.00014463,"yes"
"147950","Sobic.003G123600.v3.2","WT_seed","plasma_seed","OK",57.9868,184.777,1.67199,4.51039,5e-05,0.00014463,"yes"
"147961","Sobic.003G124700.v3.2","WT_seed","plasma_seed","OK",20.3227,62.4387,1.61935,4.50176,5e-05,0.00014463,"yes"
"148007","Sobic.003G128550.v3.2","WT_seed","plasma_seed","OK",6.12669,16.0126,1.38603,2.98805,5e-05,0.00014463,"yes"
"148025","Sobic.003G130100.v3.2","WT_seed","plasma_seed","OK",1.89941,5.06305,1.41446,2.37223,0.00025,0.00066314,"yes"
"148026","Sobic.003G130200.v3.2","WT_seed","plasma_seed","OK",26.8165,89.5238,1.73915,4.63572,5e-05,0.00014463,"yes"
"148027","Sobic.003G130300.v3.2","WT_seed","plasma_seed","OK",0,4.01715,Inf,NA,0.0027,0.00602261,"yes"
"148028","Sobic.003G130400.v3.2","WT_seed","plasma_seed","OK",84.4078,188.13,1.15628,2.92471,5e-05,0.00014463,"yes"
"148033","Sobic.003G130800.v3.2","WT_seed","plasma_seed","OK",50.5216,102.738,1.024,2.92008,5e-05,0.00014463,"yes"
"148049","Sobic.003G132300.v3.2","WT_seed","plasma_seed","OK",1.08647,2.18176,1.00585,1.57965,0.00755,0.0154929,"yes"
"148084","Sobic.003G136000.v3.2","WT_seed","plasma_seed","OK",5.15698,10.339,1.00349,2.46667,5e-05,0.00014463,"yes"
"148094","Sobic.003G137000.v3.2","WT_seed","plasma_seed","OK",0.335656,0.823137,1.29415,1.10337,0.0407,0.0724491,"no"
"148116","Sobic.003G139100.v3.2","WT_seed","plasma_seed","OK",295.668,610.51,1.04604,2.97403,5e-05,0.00014463,"yes"
"148136","Sobic.003G140800.v3.2","WT_seed","plasma_seed","OK",6.01665,14.4185,1.26089,2.80816,5e-05,0.00014463,"yes"
"148172","Sobic.003G144500.v3.2","WT_seed","plasma_seed","OK",261.652,699.935,1.41957,3.75655,5e-05,0.00014463,"yes"
"148173","Sobic.003G144600.v3.2","WT_seed","plasma_seed","OK",10.1854,24.484,1.26534,3.03765,5e-05,0.00014463,"yes"
"148174","Sobic.003G144700.v3.2","WT_seed","plasma_seed","OK",204.875,619.667,1.59675,3.9205,5e-05,0.00014463,"yes"
"148176","Sobic.003G144900.v3.2","WT_seed","plasma_seed","OK",0.8033,2.2628,1.4941,2.89985,5e-05,0.00014463,"yes"
