"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"28386","Sobic.008G192500.v3.2","seed_wt","seed_plasma","OK",4.43911,16.7897,1.91923,1.96428,0.0045,0.0127618,"yes"
"28396","Sobic.009G000200.v3.2","seed_wt","seed_plasma","OK",1.80923,4.05833,1.16551,1.6992,0.0033,0.00974443,"yes"
"28440","Sobic.009G004800.v3.2","seed_wt","seed_plasma","OK",1.1663,2.95679,1.34209,1.76915,0.0044,0.0125137,"yes"
"28587","Sobic.009G019200.v3.2","seed_wt","seed_plasma","OK",1.37328,3.33067,1.27819,1.74114,0.0053,0.0147022,"yes"
"28624","Sobic.009G023200.v3.2","seed_wt","seed_plasma","OK",236.609,621.814,1.39398,2.57704,5e-05,0.000226883,"yes"
"28662","Sobic.009G026500.v3.2","seed_wt","seed_plasma","OK",19.953,41.3775,1.05224,1.94936,0.00095,0.00326439,"yes"
"28663","Sobic.009G026600.v3.2","seed_wt","seed_plasma","OK",0,16.8692,Inf,NA,0.0061,0.0165904,"yes"
"28664","Sobic.009G026650.v3.2","seed_wt","seed_plasma","OK",3.53111,7.5459,1.09557,1.46576,0.0166,0.0393649,"yes"
"28668","Sobic.009G026900.v3.2","seed_wt","seed_plasma","OK",1.11673,4.07494,1.8675,1.74276,0.0062,0.0168235,"yes"
"28681","Sobic.009G028300.v3.2","seed_wt","seed_plasma","OK",0.732672,2.07663,1.503,1.91119,0.0012,0.00400957,"yes"
"28703","Sobic.009G030600.v3.2","seed_wt","seed_plasma","OK",0.575378,3.12035,2.43913,2.44513,0.00085,0.00295868,"yes"
"28748","Sobic.009G034600.v3.2","seed_wt","seed_plasma","OK",27.01,58.736,1.12075,2.04923,0.00055,0.00200761,"yes"
"28761","Sobic.009G036100.v3.2","seed_wt","seed_plasma","OK",51.4977,154.02,1.58054,2.58179,5e-05,0.000226883,"yes"
"28774","Sobic.009G037100.v3.2","seed_wt","seed_plasma","OK",289.482,902.11,1.63983,2.73846,5e-05,0.000226883,"yes"
"28837","Sobic.009G043600.v3.2","seed_wt","seed_plasma","OK",2.9379,6.62786,1.17376,1.44512,0.0162,0.0385422,"yes"
"28863","Sobic.009G046200.v3.2","seed_wt","seed_plasma","OK",4.83288,24.584,2.34676,3.51972,5e-05,0.000226883,"yes"
"28963","Sobic.009G055550.v3.2","seed_wt","seed_plasma","OK",2.50845,6.47796,1.36875,1.3701,0.0287,0.0629549,"no"
"28966","Sobic.009G055800.v3.2","seed_wt","seed_plasma","OK",2.19046,5.78699,1.40158,1.62971,0.0068,0.0182228,"yes"
"29060","Sobic.009G065000.v3.2","seed_wt","seed_plasma","OK",4.85339,11.9087,1.29495,1.92172,0.00175,0.00558801,"yes"
"29080","Sobic.009G066900.v3.2","seed_wt","seed_plasma","OK",78.9369,173.041,1.13234,1.98978,8e-04,0.00280389,"yes"
"29110","Sobic.009G069600.v3.2","seed_wt","seed_plasma","OK",6.69056,19.7111,1.55881,2.72557,5e-05,0.000226883,"yes"
"29112","Sobic.009G069800.v3.2","seed_wt","seed_plasma","OK",17.3364,131.494,2.92312,5.41254,5e-05,0.000226883,"yes"
"29119","Sobic.009G070250.v3.2","seed_wt","seed_plasma","OK",5.36236,13.1344,1.29241,1.70725,0.00595,0.0162376,"yes"
"29120","Sobic.009G070300.v3.2","seed_wt","seed_plasma","OK",4.92448,13.8032,1.48696,1.59193,0.0346,0.0737261,"no"
"29121","Sobic.009G070400.v3.2","seed_wt","seed_plasma","OK",17.6099,38.1312,1.11459,2.06167,0.00045,0.00167836,"yes"
"29136","Sobic.009G071800.v3.2","seed_wt","seed_plasma","OK",11.7294,24.4188,1.05787,1.90828,8e-04,0.00280389,"yes"
"29200","Sobic.009G077500.v3.2","seed_wt","seed_plasma","OK",0.757853,5.52615,2.86628,2.93171,1e-04,0.000431629,"yes"
"29323","Sobic.009G088800.v3.2","seed_wt","seed_plasma","OK",30.2086,65.0135,1.10578,2.1256,0.00025,0.000992286,"yes"
"29429","Sobic.009G100500.v3.2","seed_wt","seed_plasma","OK",8.56062,26.0842,1.60739,3.02874,5e-05,0.000226883,"yes"
"29431","Sobic.009G100800.v3.2","seed_wt","seed_plasma","OK",9.85988,20.7572,1.07397,2.07617,0.00055,0.00200761,"yes"
"29471","Sobic.009G104500.v3.2","seed_wt","seed_plasma","OK",947.351,1924.23,1.02231,1.48496,0.01155,0.0288375,"yes"
"29472","Sobic.009G104600.v3.2","seed_wt","seed_plasma","OK",88.9319,240.675,1.43631,2.64793,5e-05,0.000226883,"yes"
"29524","Sobic.009G110000.v3.2","seed_wt","seed_plasma","OK",0.943335,1.97932,1.06916,1.37186,0.02015,0.0465179,"yes"
"29526","Sobic.009G110200.v3.2","seed_wt","seed_plasma","OK",1.51202,10.8566,2.84402,2.3504,0.00275,0.00831446,"yes"
"29538","Sobic.009G111200.v3.2","seed_wt","seed_plasma","OK",26.8107,89.9446,1.74623,3.10001,5e-05,0.000226883,"yes"
"29568","Sobic.009G114000.v3.2","seed_wt","seed_plasma","OK",51.4585,161.284,1.64812,3.19249,5e-05,0.000226883,"yes"
"29596","Sobic.009G116700.v3.2","seed_wt","seed_plasma","OK",1429.27,3185.18,1.15609,1.46854,0.015,0.036071,"yes"
"29639","Sobic.009G121100.v3.2","seed_wt","seed_plasma","OK",3.15948,9.48761,1.58636,2.48895,5e-05,0.000226883,"yes"
"29644","Sobic.009G121600.v3.2","seed_wt","seed_plasma","OK",1.31857,2.82479,1.09917,1.20441,0.0435,0.0895261,"no"
"29663","Sobic.009G123400.v3.2","seed_wt","seed_plasma","OK",10.6935,22.2879,1.05952,1.66631,0.00385,0.011131,"yes"
"29706","Sobic.009G127400.v3.2","seed_wt","seed_plasma","OK",4.99034,10.521,1.07606,1.59075,0.007,0.0186946,"yes"
"29719","Sobic.009G128700.v3.2","seed_wt","seed_plasma","OK",4.38947,15.0435,1.77702,1.93594,0.0023,0.00710551,"yes"
"29756","Sobic.009G132400.v3.2","seed_wt","seed_plasma","OK",1.39303,4.05749,1.54236,1.56232,0.0116,0.0289444,"yes"
"29778","Sobic.009G134600.v3.2","seed_wt","seed_plasma","OK",17.6577,39.1263,1.14784,2.18724,1e-04,0.000431629,"yes"
"29803","Sobic.009G137000.v3.2","seed_wt","seed_plasma","OK",3.03444,6.10543,1.00866,1.53881,0.0087,0.0225789,"yes"
"29852","Sobic.009G142200.v3.2","seed_wt","seed_plasma","OK",17.4958,47.1402,1.42995,2.43603,5e-05,0.000226883,"yes"
"29864","Sobic.009G143400.v3.2","seed_wt","seed_plasma","OK",12.7032,32.347,1.34845,1.84859,0.0024,0.00738114,"yes"
"29865","Sobic.009G143500.v3.2","seed_wt","seed_plasma","OK",5.22826,26.9113,2.36381,1.79931,0.0393,0.0822145,"no"
"29919","Sobic.009G149000.v3.2","seed_wt","seed_plasma","OK",2.47781,6.21109,1.32578,1.5011,0.01645,0.0390585,"yes"
"29943","Sobic.009G151600.v3.2","seed_wt","seed_plasma","OK",11.2126,39.7764,1.8268,3.2686,5e-05,0.000226883,"yes"
"29953","Sobic.009G152200.v3.2","seed_wt","seed_plasma","OK",7.94016,16.3978,1.04626,1.73778,0.0026,0.00791306,"yes"
"29979","Sobic.009G154600.v3.2","seed_wt","seed_plasma","OK",1.83774,4.68592,1.3504,1.79812,0.0038,0.0110066,"yes"
"29980","Sobic.009G154700.v3.2","seed_wt","seed_plasma","OK",189.159,1167.43,2.62566,4.03284,5e-05,0.000226883,"yes"
"29983","Sobic.009G155050.v3.2","seed_wt","seed_plasma","OK",1.56129,3.77115,1.27227,1.61242,0.00605,0.0164761,"yes"
"29984","Sobic.009G155200.v3.2","seed_wt","seed_plasma","OK",3.55816,7.78634,1.12981,1.68318,0.0052,0.0144593,"yes"
"29994","Sobic.009G156000.v3.2","seed_wt","seed_plasma","OK",6.8654,15.2318,1.14967,1.9442,0.0011,0.00371353,"yes"
"30004","Sobic.009G156900.v3.2","seed_wt","seed_plasma","OK",33.2577,91.5397,1.46071,2.54058,5e-05,0.000226883,"yes"
"30015","Sobic.009G157800.v3.2","seed_wt","seed_plasma","OK",21.8827,56.9635,1.38025,2.60917,5e-05,0.000226883,"yes"
"30016","Sobic.009G157900.v3.2","seed_wt","seed_plasma","OK",14.9088,44.7443,1.58554,2.76246,5e-05,0.000226883,"yes"
"30030","Sobic.009G159200.v3.2","seed_wt","seed_plasma","OK",10.2914,54.2981,2.39946,4.0969,5e-05,0.000226883,"yes"
"30057","Sobic.009G161700.v3.2","seed_wt","seed_plasma","OK",8.87781,39.2365,2.14392,3.00165,5e-05,0.000226883,"yes"
"30106","Sobic.009G166400.v3.2","seed_wt","seed_plasma","OK",1.15226,2.34181,1.02315,1.24355,0.03205,0.0691033,"no"
"30119","Sobic.009G167600.v3.2","seed_wt","seed_plasma","OK",6.1625,13.7143,1.15409,1.55518,0.01215,0.0301119,"yes"
"30133","Sobic.009G168900.v3.2","seed_wt","seed_plasma","OK",1.41048,8.33347,2.56273,1.9638,0.00685,0.0183439,"yes"
"30134","Sobic.009G169000.v3.2","seed_wt","seed_plasma","OK",155.864,521.726,1.74301,2.68719,0.00015,0.000624855,"yes"
"30153","Sobic.009G170700.v3.2","seed_wt","seed_plasma","OK",2.89564,8.78664,1.60143,2.32497,2e-04,0.000811791,"yes"
"30154","Sobic.009G170800.v3.2","seed_wt","seed_plasma","OK",3.69475,8.65413,1.22791,1.57326,0.0091,0.0234801,"yes"
"30156","Sobic.009G171000.v3.2","seed_wt","seed_plasma","OK",5.46664,11.8999,1.12222,1.97473,0.0013,0.00430576,"yes"
"30163","Sobic.009G171700.v3.2","seed_wt","seed_plasma","OK",6.74443,15.6827,1.21741,2.07639,0.00025,0.000992286,"yes"
"30171","Sobic.009G172400.v3.2","seed_wt","seed_plasma","OK",8.81953,24.8935,1.497,2.54792,5e-05,0.000226883,"yes"
"30257","Sobic.009G180200.v3.2","seed_wt","seed_plasma","OK",12.2155,51.2947,2.0701,3.68734,5e-05,0.000226883,"yes"
"30270","Sobic.009G181400.v3.2","seed_wt","seed_plasma","OK",1.22518,3.84693,1.65071,1.36427,0.0372,0.078414,"no"
"30274","Sobic.009G181800.v3.2","seed_wt","seed_plasma","OK",30.2115,94.8573,1.65066,3.15729,5e-05,0.000226883,"yes"
"30276","Sobic.009G182000.v3.2","seed_wt","seed_plasma","OK",32.0363,71.5959,1.16017,1.65583,0.00575,0.015769,"yes"
"30285","Sobic.009G182900.v3.2","seed_wt","seed_plasma","OK",1.21056,3.04043,1.3286,1.31074,0.03,0.0653438,"no"
"30286","Sobic.009G183000.v3.2","seed_wt","seed_plasma","OK",9.22303,24.5633,1.41319,2.48913,5e-05,0.000226883,"yes"
"30287","Sobic.009G183101.v3.2","seed_wt","seed_plasma","OK",6.73879,21.9515,1.70375,1.76831,0.00345,0.0101287,"yes"
"30301","Sobic.009G184400.v3.2","seed_wt","seed_plasma","OK",12.6334,29.4397,1.22051,1.98574,0.00075,0.00264828,"yes"
"30305","Sobic.009G184700.v3.2","seed_wt","seed_plasma","OK",10.1922,22.5474,1.14549,2.05407,0.0011,0.00371353,"yes"
"30374","Sobic.009G191700.v3.2","seed_wt","seed_plasma","OK",21.425,44.7191,1.0616,1.96311,0.00095,0.00326439,"yes"
"30402","Sobic.009G194500.v3.2","seed_wt","seed_plasma","OK",1.50998,3.43974,1.18778,1.36274,0.0201,0.0464189,"yes"
"30415","Sobic.009G195800.v3.2","seed_wt","seed_plasma","OK",3.07829,6.39529,1.05488,1.38725,0.0294,0.0642406,"no"
"30496","Sobic.009G203600.v3.2","seed_wt","seed_plasma","OK",4.07292,10.1109,1.31177,1.22022,0.04765,0.0965899,"no"
"30503","Sobic.009G204100.v3.2","seed_wt","seed_plasma","OK",6.18557,17.9317,1.53553,2.24394,4e-04,0.00151008,"yes"
"30508","Sobic.009G204601.v3.2","seed_wt","seed_plasma","OK",150.78,437.514,1.53688,2.40832,5e-05,0.000226883,"yes"
"30513","Sobic.009G205100.v3.2","seed_wt","seed_plasma","OK",94.4338,201.329,1.09218,1.9901,0.00095,0.00326439,"yes"
"30559","Sobic.009G209400.v3.2","seed_wt","seed_plasma","OK",16.3372,34.076,1.0606,1.72627,0.00345,0.0101287,"yes"
"30595","Sobic.009G213000.v3.2","seed_wt","seed_plasma","OK",6.29601,15.6529,1.31392,2.08935,5e-04,0.00184503,"yes"
"30625","Sobic.009G215700.v3.2","seed_wt","seed_plasma","OK",572.937,3296.02,2.52428,3.46118,5e-05,0.000226883,"yes"
"30646","Sobic.009G217600.v3.2","seed_wt","seed_plasma","OK",0.457114,3.23859,2.82474,2.17936,0.0041,0.0117657,"yes"
"30681","Sobic.009G221200.v3.2","seed_wt","seed_plasma","OK",1.57228,3.7214,1.24298,1.84669,0.0025,0.00764688,"yes"
"30682","Sobic.009G221400.v3.2","seed_wt","seed_plasma","OK",1.40351,4.1602,1.56762,1.727,0.00655,0.0176384,"yes"
"30689","Sobic.009G222100.v3.2","seed_wt","seed_plasma","OK",1.27477,7.84344,2.62125,3.15468,5e-05,0.000226883,"yes"
"30715","Sobic.009G224800.v3.2","seed_wt","seed_plasma","OK",79.2452,207.899,1.39148,2.56894,5e-05,0.000226883,"yes"
"30746","Sobic.009G227800.v3.2","seed_wt","seed_plasma","OK",0.677234,2.00245,1.56404,1.50069,0.018,0.0422249,"yes"
"30752","Sobic.009G228400.v3.2","seed_wt","seed_plasma","OK",5.69887,14.5055,1.34785,2.3836,0.00015,0.000624855,"yes"
"30768","Sobic.009G230000.v3.2","seed_wt","seed_plasma","OK",31.6751,65.3979,1.0459,2.0016,0.00065,0.00233178,"yes"
"30769","Sobic.009G230100.v3.2","seed_wt","seed_plasma","OK",3.69487,7.83958,1.08525,1.59756,0.0069,0.0184608,"yes"
"30780","Sobic.009G231200.v3.2","seed_wt","seed_plasma","OK",12.6697,26.3881,1.05851,1.85919,0.0017,0.00545001,"yes"
"30782","Sobic.009G231400.v3.2","seed_wt","seed_plasma","OK",28.2552,77.6852,1.45912,2.53236,5e-05,0.000226883,"yes"
"30791","Sobic.009G232266.v3.2","seed_wt","seed_plasma","OK",24.3039,61.3027,1.33477,2.40996,5e-05,0.000226883,"yes"
"30796","Sobic.009G232800.v3.2","seed_wt","seed_plasma","OK",7.75336,22.9857,1.56784,2.54509,5e-05,0.000226883,"yes"
"30829","Sobic.009G236100.v3.2","seed_wt","seed_plasma","OK",23.1987,65.8479,1.50509,2.72958,5e-05,0.000226883,"yes"
"30847","Sobic.009G237600.v3.2","seed_wt","seed_plasma","OK",10.1648,37.6745,1.89001,3.31399,5e-05,0.000226883,"yes"
"30855","Sobic.009G238500.v3.2","seed_wt","seed_plasma","OK",0.555766,1.68354,1.59895,1.34222,0.0336,0.0718975,"no"
"30856","Sobic.009G238600.v3.2","seed_wt","seed_plasma","OK",18.0832,58.0792,1.68337,3.13363,5e-05,0.000226883,"yes"
