"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"166625","Sobic.009G166650.v3.2","WT_seed","plasma_seed","OK",5.97217,2.79377,-1.09604,-2.06872,6e-04,0.00150104,"yes"
"166634","Sobic.009G167500.v3.2","WT_seed","plasma_seed","OK",62.9749,1.08862,-5.8542,-9.56757,5e-05,0.00014463,"yes"
"166688","Sobic.009G172500.v3.2","WT_seed","plasma_seed","OK",5.49171,1.01177,-2.44038,-4.34748,5e-05,0.00014463,"yes"
"166692","Sobic.009G172950.v3.2","WT_seed","plasma_seed","OK",7.23629,2.20212,-1.71636,-3.95054,5e-05,0.00014463,"yes"
"166693","Sobic.009G173100.v3.2","WT_seed","plasma_seed","OK",1.92274,0.949745,-1.01755,-1.75473,0.0032,0.0070467,"yes"
"166699","Sobic.009G173700.v3.2","WT_seed","plasma_seed","OK",34.5821,9.21981,-1.90722,-2.44117,5e-05,0.00014463,"yes"
"166733","Sobic.009G176700.v3.2","WT_seed","plasma_seed","OK",15.4181,4.14472,-1.89528,-4.46879,5e-05,0.00014463,"yes"
"166795","Sobic.009G182300.v3.2","WT_seed","plasma_seed","OK",287.823,140.446,-1.03517,-2.3214,5e-05,0.00014463,"yes"
"166806","Sobic.009G183400.v3.2","WT_seed","plasma_seed","OK",0.848589,0.217831,-1.96185,-2.2111,0.00135,0.00318389,"yes"
"166810","Sobic.009G183700.v3.2","WT_seed","plasma_seed","OK",10.0407,4.18794,-1.26155,-2.98363,5e-05,0.00014463,"yes"
"166815","Sobic.009G184200.v3.2","WT_seed","plasma_seed","OK",3.56857,0.161274,-4.46776,-6.49259,5e-05,0.00014463,"yes"
"166838","Sobic.009G186500.v3.2","WT_seed","plasma_seed","OK",1.33177,0,-Inf,NA,5e-05,0.00014463,"yes"
"166839","Sobic.009G186600.v3.2","WT_seed","plasma_seed","OK",1.75348,0.0798485,-4.45681,-3.67723,0.0046,0.00983506,"yes"
"166843","Sobic.009G187000.v3.2","WT_seed","plasma_seed","OK",1.07727,0.311237,-1.7913,-2.31935,0.00045,0.00114794,"yes"
"166853","Sobic.009G188000.v3.2","WT_seed","plasma_seed","OK",13.1486,0.664211,-4.30712,-6.42565,5e-05,0.00014463,"yes"
"166865","Sobic.009G189200.v3.2","WT_seed","plasma_seed","OK",74.8728,29.1759,-1.35966,-3.85511,5e-05,0.00014463,"yes"
"166866","Sobic.009G189300.v3.2","WT_seed","plasma_seed","OK",1.4717,0.657156,-1.16317,-1.36257,0.0244,0.0454793,"yes"
"166870","Sobic.009G189700.v3.2","WT_seed","plasma_seed","OK",25.7868,1.43891,-4.16359,-6.00635,5e-05,0.00014463,"yes"
"166877","Sobic.009G190400.v3.2","WT_seed","plasma_seed","OK",2.56342,0.159017,-4.01082,-3.25743,0.00145,0.00340034,"yes"
"166891","Sobic.009G191800.v3.2","WT_seed","plasma_seed","OK",16.5052,6.85353,-1.268,-2.87792,5e-05,0.00014463,"yes"
"166902","Sobic.009G192700.v3.2","WT_seed","plasma_seed","OK",1.42768,0.0678033,-4.39618,-4.24115,5e-05,0.00014463,"yes"
"166922","Sobic.009G194900.v3.2","WT_seed","plasma_seed","OK",29.6104,9.91038,-1.57909,-4.35525,5e-05,0.00014463,"yes"
"166923","Sobic.009G195000.v3.2","WT_seed","plasma_seed","OK",5.76209,2.08862,-1.46404,-2.81072,5e-05,0.00014463,"yes"
"166928","Sobic.009G195500.v3.2","WT_seed","plasma_seed","OK",0.603135,0.132055,-2.19134,-2.20777,0.00285,0.00633017,"yes"
"166929","Sobic.009G195600.v3.2","WT_seed","plasma_seed","OK",3.62481,1.38472,-1.38832,-2.17863,3e-04,0.000787139,"yes"
"166942","Sobic.009G196900.v3.2","WT_seed","plasma_seed","OK",4.9487,1.76259,-1.48935,-2.93951,5e-05,0.00014463,"yes"
"166962","Sobic.009G198700.v3.2","WT_seed","plasma_seed","OK",15.3057,4.24819,-1.84915,-4.1017,5e-05,0.00014463,"yes"
"166976","Sobic.009G200000.v3.2","WT_seed","plasma_seed","OK",0.852438,0.283438,-1.58856,-1.64985,0.00285,0.00633017,"yes"
"166977","Sobic.009G200100.v3.2","WT_seed","plasma_seed","OK",1.2927,0.112196,-3.52629,-2.31757,0.0162,0.03127,"yes"
"166995","Sobic.009G201700.v3.2","WT_seed","plasma_seed","OK",28.5942,12.4145,-1.2037,-3.43819,5e-05,0.00014463,"yes"
"167009","Sobic.009G203200.v3.2","WT_seed","plasma_seed","OK",0.835474,0.166004,-2.33138,-2.39212,0.0015,0.0035077,"yes"
"167013","Sobic.009G203700.v3.2","WT_seed","plasma_seed","OK",8.3021,0.141861,-5.87092,-6.942,5e-05,0.00014463,"yes"
