"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"64490","Sobic.009G190400.v3.2","seed_wt","seed_dry","OK",2.00871,0,-Inf,NA,5e-05,0.000226883,"yes"
"64504","Sobic.009G191800.v3.2","seed_wt","seed_dry","OK",14.1792,6.48676,-1.1282,-1.65806,0.0053,0.0147022,"yes"
"64505","Sobic.009G191801.v3.2","seed_wt","seed_dry","OK",30.7222,11.9039,-1.36784,-1.51881,0.0136,0.0331667,"yes"
"64515","Sobic.009G192700.v3.2","seed_wt","seed_dry","OK",1.55934,0,-Inf,NA,5e-05,0.000226883,"yes"
"64522","Sobic.009G193500.v3.2","seed_wt","seed_dry","OK",24.0407,11.2116,-1.10049,-1.95014,9e-04,0.00311238,"yes"
"64526","Sobic.009G194000.v3.2","seed_wt","seed_dry","OK",15.84,6.19789,-1.35373,-2.24816,2e-04,0.000811791,"yes"
"64528","Sobic.009G194200.v3.2","seed_wt","seed_dry","OK",9.65,4.05873,-1.2495,-1.93884,0.002,0.00628084,"yes"
"64535","Sobic.009G194900.v3.2","seed_wt","seed_dry","OK",24.8894,11.5115,-1.11245,-2.09558,2e-04,0.000811791,"yes"
"64537","Sobic.009G195100.v3.2","seed_wt","seed_dry","OK",16.3852,6.44309,-1.34657,-2.22782,3e-04,0.00116681,"yes"
"64542","Sobic.009G195600.v3.2","seed_wt","seed_dry","OK",3.08731,0.236584,-3.70592,-2.16942,0.02365,0.0533774,"no"
"64555","Sobic.009G196900.v3.2","seed_wt","seed_dry","OK",5.32983,1.79813,-1.56759,-1.99853,8e-04,0.00280389,"yes"
"64575","Sobic.009G198700.v3.2","seed_wt","seed_dry","OK",15.2647,2.01519,-2.92122,-3.66319,5e-05,0.000226883,"yes"
"64577","Sobic.009G198900.v3.2","seed_wt","seed_dry","OK",6.67396,1.81092,-1.88182,-2.57314,4e-04,0.00151008,"yes"
"64601","Sobic.009G201000.v3.2","seed_wt","seed_dry","OK",6.52156,2.79865,-1.22049,-1.68996,0.0048,0.0135007,"yes"
"64608","Sobic.009G201700.v3.2","seed_wt","seed_dry","OK",22.2977,10.103,-1.14212,-2.09571,3e-04,0.00116681,"yes"
"64611","Sobic.009G202000.v3.2","seed_wt","seed_dry","OK",8.89665,1.30097,-2.77367,-2.9183,5e-04,0.00184503,"yes"
"64618","Sobic.009G202801.v3.2","seed_wt","seed_dry","OK",4.46792,1.42949,-1.6441,-2.12654,0.0013,0.00430576,"yes"
"64626","Sobic.009G203700.v3.2","seed_wt","seed_dry","OK",6.41756,0,-Inf,NA,5e-05,0.000226883,"yes"
"64658","Sobic.009G206500.v3.2","seed_wt","seed_dry","OK",7.24168,3.05689,-1.24426,-2.0775,0.001,0.00341485,"yes"
"64669","Sobic.009G207600.v3.2","seed_wt","seed_dry","OK",1.68151,0.420056,-2.0011,-1.46802,0.0336,0.0718975,"no"
"64672","Sobic.009G207900.v3.2","seed_wt","seed_dry","OK",3.97355,1.67257,-1.24836,-1.41716,0.0189,0.0440316,"yes"
"64679","Sobic.009G208600.v3.2","seed_wt","seed_dry","OK",2.49738,0,-Inf,NA,5e-05,0.000226883,"yes"
"64680","Sobic.009G208700.v3.2","seed_wt","seed_dry","OK",6.65333,0,-Inf,NA,5e-05,0.000226883,"yes"
"64681","Sobic.009G208800.v3.2","seed_wt","seed_dry","OK",9.10751,3.55687,-1.35645,-2.00247,0.0011,0.00371353,"yes"
"64683","Sobic.009G209001.v3.2","seed_wt","seed_dry","OK",6.7619,1.15042,-2.55527,-2.1719,0.00985,0.0251365,"yes"
"64692","Sobic.009G209900.v3.2","seed_wt","seed_dry","OK",58.7352,17.7868,-1.72342,-2.92066,5e-05,0.000226883,"yes"
