"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"28706","Sobic.009G030900.v3.2","seed_wt","seed_plasma","OK",5.27991,0.838086,-2.65534,-2.10019,0.0115,0.0287267,"yes"
"28708","Sobic.009G031100.v3.2","seed_wt","seed_plasma","OK",2.32445,0.54479,-2.09312,-1.9797,0.00535,0.0148192,"yes"
"28727","Sobic.009G032600.v3.2","seed_wt","seed_plasma","OK",4.78195,0.328369,-3.86421,-3.01923,0.0023,0.00710551,"yes"
"28735","Sobic.009G033400.v3.2","seed_wt","seed_plasma","OK",4.52593,2.05666,-1.13791,-1.42895,0.0161,0.038336,"yes"
"28754","Sobic.009G035300.v3.2","seed_wt","seed_plasma","OK",8.4135,3.43991,-1.29033,-1.55709,0.0115,0.0287267,"yes"
"28769","Sobic.009G036700.v3.2","seed_wt","seed_plasma","OK",18.6691,5.87982,-1.66681,-2.57069,5e-05,0.000226883,"yes"
"28824","Sobic.009G042200.v3.2","seed_wt","seed_plasma","OK",2.41162,1.16176,-1.05369,-1.21314,0.0383,0.080418,"no"
"28854","Sobic.009G045300.v3.2","seed_wt","seed_plasma","OK",27.7602,12.9921,-1.09538,-2.05391,0.00025,0.000992286,"yes"
"28883","Sobic.009G048000.v3.2","seed_wt","seed_plasma","OK",1.84089,0.700238,-1.39449,-1.44215,0.0226,0.0513185,"no"
"28897","Sobic.009G049200.v3.2","seed_wt","seed_plasma","OK",5.60686,1.5569,-1.84852,-2.53499,0.00015,0.000624855,"yes"
"28927","Sobic.009G052100.v3.2","seed_wt","seed_plasma","OK",10.572,2.83602,-1.89831,-2.79807,5e-05,0.000226883,"yes"
"28928","Sobic.009G052200.v3.2","seed_wt","seed_plasma","OK",15.8484,2.37193,-2.7402,-3.77693,5e-05,0.000226883,"yes"
"28948","Sobic.009G054200.v3.2","seed_wt","seed_plasma","OK",3.61196,1.36443,-1.40448,-1.53793,0.0362,0.0765922,"no"
"28982","Sobic.009G057200.v3.2","seed_wt","seed_plasma","OK",3.76199,1.62891,-1.20759,-1.31171,0.027,0.0597735,"no"
"28989","Sobic.009G057800.v3.2","seed_wt","seed_plasma","OK",2.43369,1.03366,-1.23538,-1.50293,0.01405,0.0340944,"yes"
"29016","Sobic.009G060700.v3.2","seed_wt","seed_plasma","OK",2.44966,0.40829,-2.58492,-2.66662,0.00025,0.000992286,"yes"
"29017","Sobic.009G060800.v3.2","seed_wt","seed_plasma","OK",1.72783,0.465972,-1.89065,-1.53737,0.0178,0.0418287,"yes"
"29019","Sobic.009G061000.v3.2","seed_wt","seed_plasma","OK",3.66465,1.68721,-1.11903,-1.33214,0.02645,0.0587156,"no"
"29042","Sobic.009G063400.v3.2","seed_wt","seed_plasma","OK",39.0609,16.3806,-1.25374,-2.40067,1e-04,0.000431629,"yes"
"29075","Sobic.009G066500.v3.2","seed_wt","seed_plasma","OK",5.24723,1.55612,-1.7536,-1.94493,0.0024,0.00738114,"yes"
"29076","Sobic.009G066600.v3.2","seed_wt","seed_plasma","OK",5.59913,1.04781,-2.41783,-1.79171,0.01005,0.0255729,"yes"
"29083","Sobic.009G067200.v3.2","seed_wt","seed_plasma","OK",6.16727,2.43998,-1.33776,-1.3775,0.019,0.0442276,"yes"
"29103","Sobic.009G069000.v3.2","seed_wt","seed_plasma","OK",12.3525,4.76792,-1.37337,-2.26067,1e-04,0.000431629,"yes"
"29131","Sobic.009G071300.v3.2","seed_wt","seed_plasma","OK",3.59478,0.29167,-3.62349,-2.31492,0.0122,0.0302228,"yes"
"29138","Sobic.009G072000.v3.2","seed_wt","seed_plasma","OK",91.7635,44.8978,-1.03128,-1.9659,0.00065,0.00233178,"yes"
"29212","Sobic.009G078900.v3.2","seed_wt","seed_plasma","OK",13.9846,5.54299,-1.33511,-2.14698,0.00045,0.00167836,"yes"
"29236","Sobic.009G080600.v3.2","seed_wt","seed_plasma","OK",9.90804,3.44603,-1.52366,-2.13803,0.001,0.00341485,"yes"
"29242","Sobic.009G081400.v3.2","seed_wt","seed_plasma","OK",6.49493,1.81139,-1.84222,-2.14502,0.00185,0.00586672,"yes"
"29243","Sobic.009G081500.v3.2","seed_wt","seed_plasma","OK",19.4122,8.94484,-1.11783,-1.92369,0.00145,0.0047399,"yes"
"29245","Sobic.009G081800.v3.2","seed_wt","seed_plasma","OK",2.3875,0.900897,-1.40607,-1.72221,0.0054,0.0149388,"yes"
"29262","Sobic.009G083300.v3.2","seed_wt","seed_plasma","OK",1.65803,0.675084,-1.29633,-1.29413,0.03095,0.0670832,"no"
"29270","Sobic.009G084100.v3.2","seed_wt","seed_plasma","OK",11.5614,2.03087,-2.50914,-3.10595,5e-05,0.000226883,"yes"
"29281","Sobic.009G085100.v3.2","seed_wt","seed_plasma","OK",72.8643,25.9248,-1.49088,-2.75643,5e-05,0.000226883,"yes"
"29299","Sobic.009G087000.v3.2","seed_wt","seed_plasma","OK",9.38272,0.700744,-3.74305,-4.12744,5e-05,0.000226883,"yes"
"29314","Sobic.009G088200.v3.2","seed_wt","seed_plasma","OK",13.255,2.00294,-2.72634,-3.24492,5e-05,0.000226883,"yes"
"29372","Sobic.009G094300.v3.2","seed_wt","seed_plasma","OK",9.40759,3.88126,-1.2773,-1.69332,0.0041,0.0117657,"yes"
"29402","Sobic.009G098100.v3.2","seed_wt","seed_plasma","OK",3.85456,1.59256,-1.27521,-1.53481,0.01155,0.0288375,"yes"
"29409","Sobic.009G098700.v3.2","seed_wt","seed_plasma","OK",1.73855,0,-Inf,NA,5e-05,0.000226883,"yes"
"29415","Sobic.009G099150.v3.2","seed_wt","seed_plasma","OK",6.31462,2.78044,-1.18338,-1.26,0.02685,0.0594762,"no"
"29434","Sobic.009G101100.v3.2","seed_wt","seed_plasma","OK",6.25002,2.8119,-1.15232,-1.53853,0.0104,0.026343,"yes"
"29441","Sobic.009G101700.v3.2","seed_wt","seed_plasma","OK",61.6401,25.7255,-1.26067,-2.27533,5e-05,0.000226883,"yes"
"29444","Sobic.009G102100.v3.2","seed_wt","seed_plasma","OK",31.4322,13.7912,-1.1885,-1.96897,0.00075,0.00264828,"yes"
"29465","Sobic.009G103900.v3.2","seed_wt","seed_plasma","OK",1.47538,0.316911,-2.21893,-1.66225,0.02615,0.058147,"no"
"29467","Sobic.009G104100.v3.2","seed_wt","seed_plasma","OK",52.9958,25.6453,-1.04718,-2.02693,7e-04,0.00249004,"yes"
"29474","Sobic.009G104800.v3.2","seed_wt","seed_plasma","OK",3.27197,1.4733,-1.15111,-1.5773,0.00915,0.0235921,"yes"
"29476","Sobic.009G104900.v3.2","seed_wt","seed_plasma","OK",4.10348,1.65479,-1.3102,-2.08814,7e-04,0.00249004,"yes"
"29484","Sobic.009G105600.v3.2","seed_wt","seed_plasma","OK",175.499,73.2443,-1.26067,-2.42027,5e-05,0.000226883,"yes"
"29485","Sobic.009G105700.v3.2","seed_wt","seed_plasma","OK",362.237,149.699,-1.27487,-2.36645,1e-04,0.000431629,"yes"
"29488","Sobic.009G106000.v3.2","seed_wt","seed_plasma","OK",2.34937,0.935638,-1.32825,-1.1652,0.04885,0.0986206,"no"
